@relation FirstSem

@attribute 'LANGUAGE (COMMUNICATION IN ENGLISH)' {P,C,A,D,B,F}
@attribute 'ENGINEERING CHEMISTRY I' {P,B,A,D,F,C}
@attribute 'ENGINEERING PHYSICS I' {F,D,B,P,C,A}
@attribute 'ENGINEERING MATHEMATICS  I' {P,A,D,B,C,F,EX}
@attribute 'ENGINEERING MECHANICS I' {F,C,D,P,B,A}
@attribute 'BASIC ELECTRICAL ENGINEERING' {F,C,D,A,P,B,EX}
@attribute 'ENGINEERING CHEMISTRY LAB' {C,A,B,EX}
@attribute 'ENGINEERING PHYSICS LAB' {D,C,B,A}
@attribute 'ELECTRICAL LAB' {C,B,A,F,D,EX}
@attribute 'ENGINEERING GRAPHICS I' {D,B,A,C,F}
@attribute 'WORKSHOP PRACTICE I' {D,C,B,F,A}
@attribute 'GENERAL PROFICIENCY' {A,B}
@attribute STATE {BIHAR,RAJASTHAN,TRIPURA,'MADHYA PRADESH',DELHI,'UTTAR PRADESH','ANDHRA PRADESH','WEST BENGAL',HARYANA}
@attribute CATEGORY {S.T,OPEN,O.B.C,OPEN(PH),S.C}
@attribute SSC numeric
@attribute HSC numeric

@data
P,P,F,P,F,F,C,D,C,D,D,A,BIHAR,S.T,65,58.4
C,B,D,A,C,C,A,C,B,B,D,A,RAJASTHAN,OPEN,65.17,78.62
C,B,D,D,F,D,B,C,C,B,D,A,RAJASTHAN,S.T,74,73.38
A,A,B,B,D,A,A,C,A,B,D,A,BIHAR,OPEN,87.8,72.8
A,B,P,D,P,D,B,B,B,B,C,A,TRIPURA,OPEN,92.2,73.33
D,D,P,C,D,D,B,A,B,B,D,A,BIHAR,OPEN,72.6,70.6
P,F,F,F,F,P,C,B,F,D,D,A,BIHAR,O.B.C,50,68
B,B,B,C,D,B,EX,B,B,A,B,A,RAJASTHAN,OPEN,82,79
C,F,F,P,F,P,A,C,C,B,C,A,'MADHYA PRADESH',OPEN(PH),71.8,61.1
A,P,C,C,D,D,A,B,C,A,B,A,TRIPURA,OPEN,82.86,75
B,D,P,F,F,F,B,D,C,B,C,A,TRIPURA,OPEN,73.6,73
C,D,C,C,P,P,B,D,B,B,D,A,TRIPURA,OPEN,81.6,80
C,P,P,D,P,P,B,C,D,C,C,B,TRIPURA,OPEN,74.4,63
D,P,P,B,P,D,B,C,D,D,D,B,RAJASTHAN,O.B.C,84.17,81.85
C,P,D,B,P,D,B,C,B,D,D,B,DELHI,O.B.C,77,66
A,B,A,A,B,A,A,B,A,B,C,B,BIHAR,O.B.C,85.6,86.8
B,C,B,B,C,B,A,A,B,B,C,B,TRIPURA,OPEN,88.8,80.8
B,D,P,C,P,P,B,B,A,B,C,B,'UTTAR PRADESH',OPEN,90,62.6
B,C,D,B,B,B,C,B,B,B,B,B,'UTTAR PRADESH',OPEN,92.4,85.2
A,C,C,C,F,C,C,B,B,F,F,B,BIHAR,OPEN,93,91.8
B,C,D,C,D,P,A,A,B,C,D,B,TRIPURA,OPEN,82.4,69.4
P,C,D,D,P,D,B,C,C,C,D,B,RAJASTHAN,S.C,75.33,76.46
C,P,F,P,P,D,C,C,C,B,D,B,TRIPURA,S.C,71.7,53.8
B,P,P,P,D,P,A,B,B,C,C,B,TRIPURA,OPEN,93.89,89.7
C,F,P,F,F,P,C,D,D,D,D,B,TRIPURA,S.C,52.28,46.8
A,F,P,F,P,F,B,B,C,B,C,B,TRIPURA,S.C,76.8,57.6
B,F,P,F,D,P,C,B,B,C,D,B,TRIPURA,OPEN,89,77.2
C,P,P,C,F,P,B,C,C,D,C,B,TRIPURA,S.C,63.29,48.8
B,D,P,P,F,P,C,C,C,C,C,B,'UTTAR PRADESH',OPEN,78.2,73.4
C,D,P,F,D,D,C,B,D,D,D,B,TRIPURA,S.C,81,76.8
B,A,C,B,D,B,B,C,A,B,C,B,DELHI,OPEN,91.6,89.6
B,P,D,F,F,P,B,B,C,D,C,B,TRIPURA,OPEN,83,73.4
D,F,P,D,F,F,C,D,C,D,C,B,TRIPURA,OPEN(PH),59.2,57.4
