@relation seventhSem

@attribute 'LANGUAGE (COMMUNICATION IN ENGLISH)' {P,C,A,D,B,F}
@attribute 'ENGINEERING CHEMISTRY I' {P,B,A,D,F,C}
@attribute 'ENGINEERING PHYSICS I' {F,D,B,P,C,A}
@attribute 'ENGINEERING MATHEMATICS  I' {P,A,D,B,C,F,EX}
@attribute 'ENGINEERING MECHANICS I' {F,C,D,P,B,A}
@attribute 'BASIC ELECTRICAL ENGINEERING' {F,C,D,A,P,B,EX}
@attribute 'ENGINEERING CHEMISTRY LAB' {C,A,B,EX}
@attribute 'ENGINEERING PHYSICS LAB' {D,C,B,A}
@attribute 'ELECTRICAL LAB' {C,B,A,F,D,EX}
@attribute 'ENGINEERING GRAPHICS I' {D,B,A,C,F}
@attribute 'WORKSHOP PRACTICE I' {D,C,B,F,A}
@attribute 'GENERAL PROFICIENCY' {A,B}
@attribute 'ENGINEERING MATHEMATICS  II' {D,EX,A,B,P,C,F}
@attribute 'ENGINEERING PHYSICS II' {D,A,C,P,B,EX,F}
@attribute 'ENGINEERING CHEMISTRY II' {P,C,A,D,F,B,EX}
@attribute 'DISASTER MANAGEMENT' {B,EX,C,A,D,F,P}
@attribute 'BASIC ELECTRONICS' {D,A,B,EX,C,P,F}
@attribute 'ENGINEERING MECHANICS II' {C,A,D,F,B,P,EX}
@attribute 'INTRODUCTION TO PROGRAMMING' {C,A,B,D,P,F,EX}
@attribute 'BASIC ELECTRONICS LAB' {B,A,D,EX,C,F}
@attribute 'COMPUTER PROGRAMMING LAB' {B,A,EX,D,C}
@attribute 'ENGINEERING GRAPHICS II' {D,B,C,A}
@attribute 'WORKSHOP PRACTICE II' {B,C,A}
@attribute 'MATHEMATICS - III' {D,A,B,F,C,P,EX}
@attribute 'ENGINEERING ECONOMICS AND COSTING' {D,B,C,EX,A,P,F}
@attribute 'DIGITAL CIRCUITS AND LOGIC DESIGN' {C,A,P,EX,B,D}
@attribute 'DISCRETE MATHEMATICAL STRUCTURES' {C,EX,B,A,F,D,P}
@attribute 'DATA STRUCTURES AND PROGRAMMING METHODOLOGY' {D,B,C,P,A,EX}
@attribute 'DIGITAL CIRCUITS AND LOGIC DESIGN LAB' {A,B,EX,D,C}
@attribute 'DATA STRUCTURES LAB' {C,B,A,EX}
@attribute 'Mathematics - IV' {F,D,P,B,C,A,EX}
@attribute 'Design & Analysis of Algorithm' {P,B,C,D,A,EX}
@attribute 'Computer Organization' {C,A,B,EX,D,P}
@attribute 'Formal Language & Automata Theory' {F,A,D,C,P,B}
@attribute 'Object Oriented Programming' {D,A,B,C,EX,P}
@attribute 'Algorithm Laboratory' {C,B,D,A,EX}
@attribute 'Object Oriented Programming Laboratory' {A,EX,B}
@attribute 'MICROPROCESSOR & APPLICATIONS' {D,C,EX,B,A,P}
@attribute 'OPERATING SYSTEM' {D,A,C,F,B,P,EX}
@attribute 'DATA COMMUNICATION' {P,B,D,C,F,A,EX}
@attribute 'SOFTWARE ENGINEERING' {C,B,A,D,P}
@attribute 'GRAPH THEORY AND COMBINATORIES' {C,A,B,EX,P,D,F}
@attribute 'MICROPROCESSOR LABORATORY' {B,C,EX,D,A}
@attribute 'OPERATING SYSTEM LABORATORY' {D,C,A,B,F,EX}
@attribute 'SOFTWARE ENGINEERING LABORATORY' {C,B,EX,D,A}
@attribute 'DATABASE MANAGEMENT SYSTEM' {B,A,C,F,D,P,EX}
@attribute 'COMPILER DESIGN' {C,D,A,P,B,EX}
@attribute 'COMPUTER NETWORKS' {P,C,B,F,D,A,EX}
@attribute 'ARTIFICIAL INTELLIGENCE' {D,B,A,P,C,EX,F}
@attribute 'DATABASE MANAGEMENT SYSTEM LAB' {D,B,A,EX,C}
@attribute 'COMPILER DESIGN LAB' {B,A,EX,D,C}
@attribute 'COMPUTER NETWORKS LAB' {D,B,C,A,EX}
@attribute 'CRYPTOGRAPHY AND NETWORK SECURITY' {D,B,C,F,P,A,EX}
@attribute STATE {BIHAR,RAJASTHAN,TRIPURA,'MADHYA PRADESH',DELHI,'UTTAR PRADESH','ANDHRA PRADESH','WEST BENGAL',HARYANA}
@attribute CATEGORY {S.T,OPEN,O.B.C,OPEN(PH),S.C}
@attribute SSC numeric
@attribute HSC numeric

@data
P,P,F,P,F,F,C,D,C,D,D,A,D,D,P,B,D,C,C,B,B,D,B,D,D,C,C,D,A,C,F,P,C,F,D,C,A,D,D,P,C,C,B,D,C,B,C,P,D,D,B,D,D,BIHAR,S.T,65,58.4
C,B,D,A,C,C,A,C,B,B,D,A,EX,A,C,EX,A,A,A,A,A,B,B,A,B,A,EX,B,A,C,D,B,A,A,A,C,EX,C,A,B,B,A,C,C,B,A,C,C,B,B,A,B,B,RAJASTHAN,OPEN,65.17,78.62
C,B,D,D,F,D,B,C,C,B,D,A,A,C,C,C,B,C,C,B,B,C,B,A,C,A,B,D,A,C,P,P,A,D,B,C,EX,C,C,D,C,B,B,D,B,B,C,B,B,B,B,B,C,RAJASTHAN,S.T,74,73.38
A,A,B,B,D,A,A,C,A,B,D,A,EX,A,A,B,EX,A,B,A,B,A,B,A,EX,A,A,C,B,B,D,C,A,C,A,C,EX,C,A,C,A,A,B,A,B,A,D,B,B,A,A,C,C,BIHAR,OPEN,87.8,72.8
A,B,P,D,P,D,B,B,B,B,C,A,A,C,C,A,C,D,B,B,A,A,B,B,A,A,A,B,EX,A,D,C,A,D,A,B,EX,EX,A,C,A,EX,EX,B,EX,A,A,B,A,EX,EX,B,C,TRIPURA,OPEN,92.2,73.33
D,D,P,C,D,D,B,A,B,B,D,A,B,D,D,D,C,C,C,A,B,B,B,A,D,C,C,D,B,C,F,P,B,D,C,C,A,C,D,D,D,C,D,C,B,C,P,P,D,C,B,C,D,BIHAR,OPEN,72.6,70.6
P,F,F,F,F,P,C,B,F,D,D,A,P,P,F,F,P,F,D,D,B,D,B,F,P,P,F,P,D,C,F,P,B,P,D,C,A,D,F,F,P,P,D,F,D,F,P,F,P,D,D,D,F,BIHAR,O.B.C,50,68
B,B,B,C,D,B,EX,B,B,A,B,A,EX,B,A,A,A,C,B,A,B,B,B,A,A,EX,EX,B,A,B,B,C,EX,D,A,C,EX,B,B,C,C,A,B,C,A,A,B,B,C,A,B,A,C,RAJASTHAN,OPEN,82,79
C,F,F,P,F,P,A,C,C,B,C,A,P,P,P,D,D,F,B,B,B,B,B,F,D,B,D,C,B,B,F,D,A,P,A,C,A,C,D,D,C,C,B,B,B,B,B,D,C,B,B,C,D,'MADHYA PRADESH',OPEN(PH),71.8,61.1
A,P,C,C,D,D,A,B,C,A,B,A,A,C,B,B,A,D,A,EX,A,B,B,C,A,A,EX,B,EX,A,D,B,A,C,EX,C,EX,EX,A,C,A,EX,EX,B,EX,B,A,B,A,EX,EX,A,P,TRIPURA,OPEN,82.86,75
B,D,P,F,F,F,B,D,C,B,C,A,B,P,P,C,C,D,C,B,B,C,B,D,B,B,A,D,A,C,D,C,A,B,A,C,EX,A,B,P,C,B,B,C,A,B,D,D,C,A,EX,A,D,TRIPURA,OPEN,73.6,73
C,D,C,C,P,P,B,D,B,B,D,A,C,C,C,F,B,B,D,A,B,D,C,D,B,B,B,D,B,C,D,P,B,P,B,C,A,D,D,P,D,B,C,C,C,A,C,D,B,A,B,B,C,TRIPURA,OPEN,81.6,80
C,P,P,D,P,P,B,C,D,C,C,B,B,D,C,D,D,P,B,A,A,D,B,D,D,D,B,D,B,B,P,P,A,P,C,D,EX,B,D,P,P,B,A,C,B,D,P,P,C,B,A,B,F,TRIPURA,OPEN,74.4,63
D,P,P,B,P,D,B,C,D,D,D,B,A,C,P,D,C,P,B,D,B,D,B,B,C,B,A,D,A,C,D,D,C,P,B,D,B,C,C,F,D,B,C,D,C,C,D,D,D,A,A,C,B,RAJASTHAN,O.B.C,84.17,81.85
C,P,D,B,P,D,B,C,B,D,D,B,A,D,P,D,P,P,C,EX,B,B,B,A,C,C,A,C,B,B,P,P,C,P,B,C,EX,C,D,F,P,C,C,B,B,B,P,P,D,B,B,C,P,DELHI,O.B.C,77,66
A,B,A,A,B,A,A,B,A,B,C,B,EX,EX,A,A,EX,B,B,EX,B,A,B,A,EX,A,B,B,A,B,B,B,EX,D,A,B,EX,A,A,C,C,A,A,B,A,B,C,B,A,A,EX,A,C,BIHAR,O.B.C,85.6,86.8
